,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
8,San Antonio Spurs,1610612759,10,6,4,0.6,480.0,107.1,99.5,7.6,94.3,17.0,0.203,0.717,0.475,0.122,7,6,1,4,8,5,4,2,4,14,13,13,4,9,2015-16
9,Charlotte Hornets,1610612766,7,3,4,0.429,336.0,96.4,106.5,-10.1,93.4,11.8,0.159,0.759,0.439,0.101,9,9,1,8,9,13,11,13,16,16,8,15,2,10,2015-16
10,Cleveland Cavaliers,1610612739,21,16,5,0.762,1008.0,112.5,103.5,9.0,93.0,16.8,0.268,0.79,0.533,0.134,2,1,10,1,2,1,9,1,5,4,3,2,7,11,2015-16
11,Miami Heat,1610612748,14,7,7,0.5,687.0,103.1,98.2,5.0,92.6,13.6,0.23,0.805,0.532,0.14,5,5,13,5,5,8,2,5,12,10,2,3,9,12,2015-16
12,Toronto Raptors,1610612761,20,10,10,0.5,975.0,99.0,105.6,-6.6,92.0,12.9,0.251,0.773,0.496,0.138,3,4,16,5,3,12,10,11,15,6,6,6,8,13,2015-16
13,Indiana Pacers,1610612754,7,3,4,0.429,336.0,103.4,99.0,4.4,92.0,15.2,0.235,0.672,0.469,0.159,9,9,1,8,9,7,3,6,10,8,15,14,14,13,2015-16
14,Memphis Grizzlies,1610612763,4,0,4,0.0,192.0,89.3,111.9,-22.6,91.4,13.5,0.288,0.773,0.494,0.171,15,15,1,15,15,15,14,16,13,3,5,7,15,15,2015-16
15,Detroit Pistons,1610612765,4,0,4,0.0,192.0,107.4,115.8,-8.4,88.9,18.4,0.184,0.755,0.479,0.119,15,15,1,15,15,4,15,12,1,15,10,11,3,16,2015-16
0,Portland Trail Blazers,1610612757,4,0,4,0.0,192.0,96.3,114.6,-18.3,104.9,12.0,0.206,0.81,0.486,0.145,15,15,2,15,15,16,14,16,16,11,4,12,14,1,2016-17
1,Golden State Warriors,1610612744,17,16,1,0.941,816.0,116.3,102.8,13.6,102.7,20.0,0.224,0.766,0.514,0.133,3,1,1,1,3,2,2,1,2,9,9,4,7,2,2016-17
2,Oklahoma City Thunder,1610612760,5,1,4,0.2,240.0,104.3,109.7,-5.4,101.3,14.8,0.26,0.748,0.49,0.128,14,14,2,14,14,10,12,12,15,6,13,10,2,3,2016-17
3,Atlanta Hawks,1610612737,6,2,4,0.333,288.0,103.5,106.0,-2.5,101.3,16.4,0.264,0.773,0.518,0.157,10,10,2,10,11,12,3,8,7,5,8,3,15,3,2016-17
4,Washington Wizards,1610612764,13,7,6,0.538,629.0,106.9,108.2,-1.3,99.7,16.8,0.266,0.762,0.513,0.136,5,5,12,4,5,8,7,6,6,4,10,6,10,5,2016-17
5,Cleveland Cavaliers,1610612739,18,13,5,0.722,864.0,118.1,108.3,9.7,99.2,16.9,0.236,0.761,0.512,0.133,1,2,10,2,2,1,8,2,4,7,11,7,6,6,2016-17
6,Houston Rockets,1610612745,11,6,5,0.545,533.0,107.2,107.1,0.2,99.0,14.9,0.227,0.717,0.478,0.139,6,6,10,3,6,7,4,4,14,8,15,13,12,7,2016-17
7,Indiana Pacers,1610612754,4,0,4,0.0,192.0,111.0,115.9,-4.9,97.6,16.9,0.283,0.752,0.514,0.135,15,15,2,15,15,3,15,10,5,3,12,5,9,8,2016-17
8,Boston Celtics,1610612738,18,9,9,0.5,869.0,108.5,111.3,-2.8,96.5,20.1,0.222,0.715,0.46,0.139,1,3,16,5,1,5,13,9,1,10,16,16,11,9,2016-17
9,San Antonio Spurs,1610612759,16,8,8,0.5,778.0,110.3,109.5,0.7,95.7,16.2,0.291,0.785,0.528,0.131,4,4,15,5,4,4,11,3,8,2,7,2,4,10,2016-17
10,Toronto Raptors,1610612761,10,4,6,0.4,480.0,101.3,107.9,-6.6,95.2,16.0,0.173,0.813,0.496,0.135,8,7,12,8,8,14,5,14,11,15,3,9,8,11,2016-17
11,Chicago Bulls,1610612741,6,2,4,0.333,288.0,102.6,108.9,-6.3,94.5,15.7,0.296,0.785,0.545,0.163,10,10,2,10,11,13,9,13,12,1,6,1,16,12,2016-17
12,Utah Jazz,1610612762,11,4,7,0.364,528.0,104.1,109.2,-5.1,94.0,16.2,0.168,0.813,0.489,0.129,6,7,14,9,7,11,10,11,9,16,2,11,3,13,2016-17
13,Milwaukee Bucks,1610612749,6,2,4,0.333,288.0,100.7,101.5,-0.8,92.5,17.4,0.191,0.806,0.476,0.144,10,10,2,10,11,15,1,5,3,14,5,14,13,14,2016-17
14,LA Clippers,1610612746,7,3,4,0.429,336.0,106.2,108.0,-1.8,91.8,15.5,0.199,0.82,0.501,0.132,9,9,2,7,9,9,6,7,13,13,1,8,5,15,2016-17
